ID,Text
Pic-RUS_01-f_Pr-R.eaf,Жил-был один дяденька.
Pic-RUS_01-f_Pr-R.eaf,У его жены скоро должно было случиться день рождения.
Pic-RUS_01-f_Pr-R.eaf,Был случиться.
Pic-RUS_01-f_Pr-R.eaf,Вот.
Pic-RUS_01-f_Pr-R.eaf,Дяденька очень долго мучался
Pic-RUS_01-f_Pr-R.eaf,не знал как обычно выбрать подарок какой получше.
Pic-RUS_01-f_Pr-R.eaf,Он ходил по магазинам
Pic-RUS_01-f_Pr-R.eaf,выбирал
Pic-RUS_01-f_Pr-R.eaf,думал
Pic-RUS_01-f_Pr-R.eaf,что бы ему купить...
Pic-RUS_01-f_Pr-R.eaf,То он хотел купить сумку
Pic-RUS_01-f_Pr-R.eaf,то он хотел купить часы
Pic-RUS_01-f_Pr-R.eaf,то манекен
Pic-RUS_01-f_Pr-R.eaf,но всё у него не получалось.
Pic-RUS_01-f_Pr-R.eaf,Выбрать
Pic-RUS_01-f_Pr-R.eaf,что-нибудь стоящее.
Pic-RUS_01-f_Pr-R.eaf,В итоге он отчаялся
Pic-RUS_01-f_Pr-R.eaf,пришёл спросить у своих детей:
Pic-RUS_01-f_Pr-R.eaf,может быть они дадут какой-то дельный совет.
Pic-RUS_01-f_Pr-R.eaf,Дети недолго думая сказали
Pic-RUS_01-f_Pr-R.eaf,ч чего бы хотела их мама.
Pic-RUS_01-f_Pr-R.eaf,Так как дети всегда больше знают.
Pic-RUS_01-f_Pr-R.eaf,Они ему сказали:
Pic-RUS_01-f_Pr-R.eaf,Купи? ей машину
Pic-RUS_01-f_Pr-R.eaf,Дядя по глупости пошёл в автосалон.
Pic-RUS_01-f_Pr-R.eaf,Посмотрел на машины
Pic-RUS_01-f_Pr-R.eaf,ээ в итоге понял
Pic-RUS_01-f_Pr-R.eaf,что всё-таки наверное дорого это ему будет
Pic-RUS_01-f_Pr-R.eaf,потому что один дядечка заявил
Pic-RUS_01-f_Pr-R.eaf,что это достаточно приличную сумму стоит денег
Pic-RUS_01-f_Pr-R.eaf,и дядечка нашёл компромисс:
Pic-RUS_01-f_Pr-R.eaf,он купил маненькую машинку
Pic-RUS_01-f_Pr-R.eaf,и подарил её собственно говоря своей жене.
Pic-RUS_01-f_Pr-R.eaf,Жена в общем-то
Pic-RUS_01-f_Pr-R.eaf,не уверена
Pic-RUS_01-f_Pr-R.eaf,что она была счастлива по этому поводу
Pic-RUS_01-f_Pr-R.eaf,дети тоже как-то были смущены
Pic-RUS_01-f_Pr-R.eaf,один дядечка остался довольный.
Pic-RUS_01-f_Ski-T.eaf,День из жизни одного очень увлекающегося спортом мужчины.
Pic-RUS_01-f_Ski-T.eaf,Мужчина утром проснулся
Pic-RUS_01-f_Ski-T.eaf,встал в восемь часов.
Pic-RUS_01-f_Ski-T.eaf,Дурак конечно же.
Pic-RUS_01-f_Ski-T.eaf,Позавтракал с утра
Pic-RUS_01-f_Ski-T.eaf,плотно
Pic-RUS_01-f_Ski-T.eaf,и пошёл кататься на лыжах.
Pic-RUS_01-f_Ski-T.eaf,Катался-катался
Pic-RUS_01-f_Ski-T.eaf,Очень спортивный товарищ.
Pic-RUS_01-f_Ski-T.eaf,затем у него была встреча с друзьями.
Pic-RUS_01-f_Ski-T.eaf,И с выпивкой.
Pic-RUS_01-f_Ski-T.eaf,Человек изрядно нажрался
Pic-RUS_01-f_Ski-T.eaf,ээ после чего почему-то решил ещё раз покататься на лыжах.
Pic-RUS_01-f_Ski-T.eaf,Покатался он не очень удачно
Pic-RUS_01-f_Ski-T.eaf,так как был пьяный
Pic-RUS_01-f_Ski-T.eaf,а за рулём как известно нельзя пить
Pic-RUS_01-f_Ski-T.eaf,и попал в реанимацию!
Pic-RUS_01-f_Ski-T.eaf,На его наложили гипс
Pic-RUS_01-f_Ski-T.eaf,туда и сюда
Pic-RUS_01-f_Ski-T.eaf,на ногу и на руку то есть
Pic-RUS_01-f_Ski-T.eaf,теперь он ходит несчастный.
Pic-RUS_02-f_Pr-R.eaf,ээ У одной женщины был день рождения
Pic-RUS_02-f_Pr-R.eaf,и её муж ээ решил подарить ей подарок
Pic-RUS_02-f_Pr-R.eaf,он его долго искал
Pic-RUS_02-f_Pr-R.eaf,ходил там в ээ магазинам
Pic-RUS_02-f_Pr-R.eaf,посмотрел
Pic-RUS_02-f_Pr-R.eaf,что есть
Pic-RUS_02-f_Pr-R.eaf,но ничего выбрать не мог.
Pic-RUS_02-f_Pr-R.eaf,ээ Тогда он ээ мм поинтересовался у детей
Pic-RUS_02-f_Pr-R.eaf,и они предложили подарить маме машину.
Pic-RUS_02-f_Pr-R.eaf,Он приехал в автосалон
Pic-RUS_02-f_Pr-R.eaf,ээ выбрал большую красивую машину
Pic-RUS_02-f_Pr-R.eaf,которую решил подарить своей жене
Pic-RUS_02-f_Pr-R.eaf,вот
Pic-RUS_02-f_Pr-R.eaf,но когда ээ он узнал цену этой машины
Pic-RUS_02-f_Pr-R.eaf,он ужаснулся
Pic-RUS_02-f_Pr-R.eaf,и решил
Pic-RUS_02-f_Pr-R.eaf,что нет
Pic-RUS_02-f_Pr-R.eaf,такого он подарить не может
Pic-RUS_02-f_Pr-R.eaf,правда вечером
Pic-RUS_02-f_Pr-R.eaf,когда он приехал домой
Pic-RUS_02-f_Pr-R.eaf,выяснилось
Pic-RUS_02-f_Pr-R.eaf,ээ мм что он нашел выход из этого положения
Pic-RUS_02-f_Pr-R.eaf,привёз своей жене маленькую игрушечную машинку.
Pic-RUS_02-f_Pr-R.eaf,Дети ээ были поражены
Pic-RUS_02-f_Pr-R.eaf,ээ а жена мм была немножко в гневе.
Pic-RUS_02-f_Ski-T.eaf,мм Этот человек ээ ммм встал рано утром
Pic-RUS_02-f_Ski-T.eaf,позавтракал
Pic-RUS_02-f_Ski-T.eaf,а потом отправился на лыжный курорт
Pic-RUS_02-f_Ski-T.eaf,кататься на лыжах.
Pic-RUS_02-f_Ski-T.eaf,Там он встретил своих друзей
Pic-RUS_02-f_Ski-T.eaf,которые решили отметить встречу
Pic-RUS_02-f_Ski-T.eaf,после чего этот человек как оказалось выпил лишнего
Pic-RUS_02-f_Ski-T.eaf,и ээ ему взбрело в голову пойти снова покататься на лыжах с горки.
Pic-RUS_02-f_Ski-T.eaf,Конечно в таком состоянии это ни к чему хорошему не привело
Pic-RUS_02-f_Ski-T.eaf,и он упал
Pic-RUS_02-f_Ski-T.eaf,он сильно поранился
Pic-RUS_02-f_Ski-T.eaf,и ээ мм его отвезли в больницу
Pic-RUS_02-f_Ski-T.eaf,оказалось
Pic-RUS_02-f_Ski-T.eaf,что у него сломана рука и нога.
Pic-RUS_03-m_Ski-R.eaf,Вот.
Pic-RUS_03-m_Ski-R.eaf,Знакомые мне здесь рассказали одну смешную и поучительную историю.
Pic-RUS_03-m_Ski-R.eaf,Один их друг решил покататься на лыжах как-то
Pic-RUS_03-m_Ski-R.eaf,на горных.
Pic-RUS_03-m_Ski-R.eaf,Проснулся
Pic-RUS_03-m_Ski-R.eaf,собрался
Pic-RUS_03-m_Ski-R.eaf,покушал
Pic-RUS_03-m_Ski-R.eaf,и решил ээ по дороге заскочить ещё ребят позвать.
Pic-RUS_03-m_Ski-R.eaf,Поехать.
Pic-RUS_03-m_Ski-R.eaf,На лыжах с ним покататься.
Pic-RUS_03-m_Ski-R.eaf,Когда он зашёл
Pic-RUS_03-m_Ski-R.eaf,там оказался банкет.
Pic-RUS_03-m_Ski-R.eaf,Ну на банкете он задержался чуть-чуть
Pic-RUS_03-m_Ski-R.eaf,выпил
Pic-RUS_03-m_Ski-R.eaf,хорошо так
Pic-RUS_03-m_Ski-R.eaf,и потом всё-таки решил всё равно скатиться с горы.
Pic-RUS_03-m_Ski-R.eaf,Когда он поехал
Pic-RUS_03-m_Ski-R.eaf,В пьяном угаре.
Pic-RUS_03-m_Ski-R.eaf,мм он у упал
Pic-RUS_03-m_Ski-R.eaf,с лыж
Pic-RUS_03-m_Ski-R.eaf,ээ заработал себе кучу переломов
Pic-RUS_03-m_Ski-R.eaf,и в конечном итоге оказался в гипсе.
Pic-RUS_03-m_Ski-R.eaf,Мораль этой басни такова:
Pic-RUS_03-m_Ski-R.eaf,Дети?!
Pic-RUS_03-m_Ski-R.eaf,не пейте на лыжах.
Pic-RUS_03-m_Ski-R.eaf,Конец истории!
Pic-RUS_03-m_Ski-R.eaf,Всё
Pic-RUS_03-m_Ski-T.eaf,Один чувак решил покататься на лыжах.
Pic-RUS_03-m_Ski-T.eaf,Как-то.
Pic-RUS_03-m_Ski-T.eaf,Ранним зимним утром.
Pic-RUS_03-m_Ski-T.eaf,Он проснулся
Pic-RUS_03-m_Ski-T.eaf,покушал
Pic-RUS_03-m_Ski-T.eaf,оде ээ одел снаряжение
Pic-RUS_03-m_Ski-T.eaf,но по дороге зашёл в гости.
Pic-RUS_03-m_Ski-T.eaf,Там немножко выпил
Pic-RUS_03-m_Ski-T.eaf,Даже совсем не немножко
Pic-RUS_03-m_Ski-T.eaf,а очень хорошо наподдал.
Pic-RUS_03-m_Ski-T.eaf,и бухой поехал кататься на лыжах.
Pic-RUS_03-m_Ski-T.eaf,В конечном итоге он упал ээ с горы
Pic-RUS_03-m_Ski-T.eaf,С лыж.
Pic-RUS_03-m_Ski-T.eaf,вот
Pic-RUS_03-m_Ski-T.eaf,у него было куча переломов.
Pic-RUS_03-m_Ski-T.eaf,Его отвезли в скорую
Pic-RUS_03-m_Ski-T.eaf,и теперь он ходит в гипсе.
Pic-RUS_03-m_Ski-T.eaf,Дети?!
Pic-RUS_03-m_Ski-T.eaf,Не пейте алкоголь
Pic-RUS_03-m_Ski-T.eaf,перед лыжным спортом?.
Pic-RUS_05-m_Pr-T.eaf,Однажды Константин решил подарить жене подарок.
Pic-RUS_05-m_Pr-T.eaf,На день рождения.
Pic-RUS_05-m_Pr-T.eaf,И пошёл в магазин.
Pic-RUS_05-m_Pr-T.eaf,Приходит значит он в магазин
Pic-RUS_05-m_Pr-T.eaf,смотрит
Pic-RUS_05-m_Pr-T.eaf,стоят:
Pic-RUS_05-m_Pr-T.eaf,сумки
Pic-RUS_05-m_Pr-T.eaf,лампы
Pic-RUS_05-m_Pr-T.eaf,кастрюли
Pic-RUS_05-m_Pr-T.eaf,кувшины.
Pic-RUS_05-m_Pr-T.eaf,Чего только нет.
Pic-RUS_05-m_Pr-T.eaf,Бедняга даже и не знает
Pic-RUS_05-m_Pr-T.eaf,чего купить!
Pic-RUS_05-m_Pr-T.eaf,Тут подбегают дети
Pic-RUS_05-m_Pr-T.eaf,говорят:
Pic-RUS_05-m_Pr-T.eaf,Дядь
Pic-RUS_05-m_Pr-T.eaf,ты чего говорят вспотел?!
Pic-RUS_05-m_Pr-T.eaf,А он смотрит
Pic-RUS_05-m_Pr-T.eaf,действительно вспотел
Pic-RUS_05-m_Pr-T.eaf,пот так и ручьём прямо льёт со лба.
Pic-RUS_05-m_Pr-T.eaf,Ну так вот.
Pic-RUS_05-m_Pr-T.eaf,Говорят:
Pic-RUS_05-m_Pr-T.eaf,Не парься дядя говорят!
Pic-RUS_05-m_Pr-T.eaf,Купи лучше автомобиль
Pic-RUS_05-m_Pr-T.eaf,у нашей мамы как раз нету машины.
Pic-RUS_05-m_Pr-T.eaf,И отвели его к продавцу
Pic-RUS_05-m_Pr-T.eaf,продавец говорит:
Pic-RUS_05-m_Pr-T.eaf,Покупайте
Pic-RUS_05-m_Pr-T.eaf,вот это самый лучший автомобиль из всех что есть.
Pic-RUS_05-m_Pr-T.eaf,Он призадумался
Pic-RUS_05-m_Pr-T.eaf,думает:
Pic-RUS_05-m_Pr-T.eaf,Действительно
Pic-RUS_05-m_Pr-T.eaf,автомобиль неплохой.
Pic-RUS_05-m_Pr-T.eaf,вот
Pic-RUS_05-m_Pr-T.eaf,но как продавец сказал ему цену
Pic-RUS_05-m_Pr-T.eaf,он говорит:
Pic-RUS_05-m_Pr-T.eaf,Э не братишка говорит
Pic-RUS_05-m_Pr-T.eaf,лучше я куплю чего-нибудь другое.
Pic-RUS_05-m_Pr-T.eaf,и приобрёл игрушечный автомобиль
Pic-RUS_05-m_Pr-T.eaf,вот.
Pic-RUS_05-m_Pr-T.eaf,Но дети были недовольны
Pic-RUS_05-m_Pr-T.eaf,они хотели настоящий автомобиль
Pic-RUS_05-m_Pr-T.eaf,поэтому и лица их растроены.
Pic-RUS_05-m_Ski-T.eaf,Миша проснулся очень рано
Pic-RUS_05-m_Ski-T.eaf,где-то в восемь часов утра.
Pic-RUS_05-m_Ski-T.eaf,Сделав женскую причёску
Pic-RUS_05-m_Ski-T.eaf,он хорошенько позавтракал
Pic-RUS_05-m_Ski-T.eaf,и поехал к своим друзьям на лыжах.
Pic-RUS_05-m_Ski-T.eaf,Непонятно
Pic-RUS_05-m_Ski-T.eaf,зачем это он сделал
Pic-RUS_05-m_Ski-T.eaf,хоть
Pic-RUS_05-m_Ski-T.eaf,когда можно было преспокойненько отправиться на автобусе или метро.
Pic-RUS_05-m_Ski-T.eaf,Выпив хорошенько
Pic-RUS_05-m_Ski-T.eaf,Непонятно
Pic-RUS_05-m_Ski-T.eaf,почему кстати с утра он пьёт.
Pic-RUS_05-m_Ski-T.eaf,он решил покататься ещё на лыжах
Pic-RUS_05-m_Ski-T.eaf,и видимо нь выбрал не ту горку.
Pic-RUS_05-m_Ski-T.eaf,Из-за того что он выпил больше чем одну
Pic-RUS_05-m_Ski-T.eaf,и больше чем две рюмки
Pic-RUS_05-m_Ski-T.eaf,когда он спускался
