ID,Text
Sib_03-m.eaf,Так
Sib_03-m.eaf,зовут меня Роман
Sib_03-m.eaf,мне девятнадцать лет
Sib_03-m.eaf,родился я в городе Улан-Удэ
Sib_03-m.eaf,Здесь и вырос
Sib_03-m.eaf,здесь я и и ещё и расту.
Sib_03-m.eaf,так
Sib_03-m.eaf,ну
Sib_03-m.eaf,учился я в гимназии в четырнадцатой
Sib_03-m.eaf,там
Sib_03-m.eaf,сколько
Sib_03-m.eaf,д закончил девять классов
Sib_03-m.eaf,после этого поступил в лесопромышленный колледж
Sib_03-m.eaf,который не закончил
Sib_03-m.eaf,после первого курса забрал документы
Sib_03-m.eaf,мм начал работать
Sib_03-m.eaf,работал так
Sib_03-m.eaf,диджеем
Sib_03-m.eaf,на всяких свадьбах
Sib_03-m.eaf,юбилеях...
Sib_03-m.eaf,Ну в принципе нормальная работа была!
Sib_03-m.eaf,интересная!
Sib_03-m.eaf,И после этого пришлось заканчивать одиннадцать классов
Sib_03-m.eaf,чтоб поступить в университет
Sib_03-m.eaf,поступил в университет
Sib_03-m.eaf,сейчас закончил первый курс
Sib_03-m.eaf,закрыл сессию
Sib_03-m.eaf,кое-как
Sib_03-m.eaf,всё...
Sib_03-m.eaf,Лето лет лето как бы отдыхал
Sib_03-m.eaf,не работал
Sib_03-m.eaf,ничего не делал
Sib_03-m.eaf,и вот сейчас всё
Sib_03-m.eaf,лето заканчивается
Sib_03-m.eaf,надо идти на работу
Sib_03-m.eaf,Долго конечно искал её
Sib_03-m.eaf,но нормально...
Sib_03-m.eaf,Чего ещё-то?
Sib_03-m.eaf,Так.
Sib_03-m.eaf,О работе ещё?
Sib_03-m.eaf,Ну нашёл Нашёл работу эээ бильярдистом
Sib_03-m.eaf,то есть смотреть з за столами
Sib_03-m.eaf,смотреть
Sib_03-m.eaf,чтобы правила не нарушали
Sib_03-m.eaf,вот
Sib_03-m.eaf,сам хочу научиться кайфово в бильярд играть...
Sib_03-m.eaf,В принципе нормально играю
Sib_03-m.eaf,но ещё лучше
Sib_03-m.eaf,чтобы было нормально
Sib_03-m.eaf,ну и как
Sib_03-m.eaf,ночная работа
Sib_03-m.eaf,тоже же хорошо...
Sib_04-m.eaf,Ну сегодня на работе мужики ругались на меня
Sib_04-m.eaf,что типа:
Sib_04-m.eaf,Всего год отработал
Sib_04-m.eaf,а уже четвёртый разряд
Sib_04-m.eaf,пришёл со вторым
Sib_04-m.eaf,за один год четвёртый разряд получил.
Sib_04-m.eaf,Они работают по нескольку лет
Sib_04-m.eaf,и у всех по четвёртому разряду.
Sib_04-m.eaf,Лет по семь по десять работают работы
Sib_04-m.eaf,кто а то и больше.
Sib_04-m.eaf,Ну и всё
Sib_04-m.eaf,работал я сегодня
Sib_04-m.eaf,приходит ко мне технолог.
Sib_04-m.eaf,Попросил выточить ему деталь.
Sib_04-m.eaf,Выточил я ему деталь
Sib_04-m.eaf,он ушёл
Sib_04-m.eaf,прибежал ещё с одной деталью
Sib_04-m.eaf,говорит
Sib_04-m.eaf,Выточи её тоже.
Sib_04-m.eaf,Ну и спрашивает:
Sib_04-m.eaf,Какой у тебя разряд?
Sib_04-m.eaf,я говорю:
Sib_04-m.eaf,Четвёртый.
Sib_04-m.eaf,тот
Sib_04-m.eaf,Сколько работаешь?
Sib_04-m.eaf,я говорю
Sib_04-m.eaf,Год работаю.
Sib_04-m.eaf,Типа Мне там просто мужики
Sib_04-m.eaf,порекомендовали
Sib_04-m.eaf,что типа опытный
Sib_04-m.eaf,фрезеровщик.
Sib_04-m.eaf,ну и типа Это говорит
Sib_04-m.eaf,а у вас есть кто-нибудь с пятым разрядом фрезеровщики?
Sib_04-m.eaf,Я говорю
Sib_04-m.eaf,Нету.
Sib_04-m.eaf,Типа Ну говорю
Sib_04-m.eaf,был один
Sib_04-m.eaf,Иваныч до этого.
Sib_04-m.eaf,Работал говорю
Sib_04-m.eaf,уволили за пьянку.
Sib_04-m.eaf,тот:
Sib_04-m.eaf,Ну понятно
Sib_04-m.eaf,типа свободная ставка.
Sib_04-m.eaf,Ну типа Это говорит
Sib_04-m.eaf,выйди
Sib_04-m.eaf,там одна женщина
Sib_04-m.eaf,я с ней поговорю говорит
Sib_04-m.eaf,разряд тебе на свободную ставку типа дадим....
Sib_04-m.eaf,Всё
Sib_04-m.eaf,мужики опять прибежали
Sib_04-m.eaf,Ты говорит вообще здесь охренел!
Sib_04-m.eaf,говорит Прёт у тебя всё!
Sib_04-m.eaf,На ЛВРЗ!
Sib_04-m.eaf,Фрезеровщиком
Sib_04-m.eaf,работал слесарем
Sib_04-m.eaf,перевели сейчас
Sib_04-m.eaf,ставка свободная появилась
Sib_04-m.eaf,фрезеровщика
Sib_04-m.eaf,меня поставили фрезеровщиком
Sib_04-m.eaf,работать.
Sib_04-m.eaf,Всё.
Sib_05-m.eaf,Представляться не буду?
Sib_05-m.eaf,Короче я Ксюшин брат.
Sib_05-m.eaf,Сейчас расскажу так
Sib_05-m.eaf,как
Sib_05-m.eaf,то
Sib_05-m.eaf,как мы ездили с друзьями в это воскресенье за грибами.
Sib_05-m.eaf,Ну в общем с субботы на воскресенье мы с моим другом Сашей очень плотненько погуляли
Sib_05-m.eaf,я думал:
Sib_05-m.eaf,Высплюся в воскресенье!
Sib_05-m.eaf,Но нет
Sib_05-m.eaf,утром меня разбудили пол восьмого
Sib_05-m.eaf,и сказали:
Sib_05-m.eaf,Поедем за грибами.
Sib_05-m.eaf,Я утром проснулся
Sib_05-m.eaf,покушал
Sib_05-m.eaf,собрались уже ехать
Sib_05-m.eaf,я думаю
Sib_05-m.eaf,Позвоним моему другу Саше.
