ID,Text
Sib_01-f.eaf,Меня зовут Катя
Sib_01-f.eaf,И я спала короче.
Sib_01-f.eaf,ээ вот
Sib_01-f.eaf,я из Казахстана
Sib_01-f.eaf,и поэтому я всё лето провела в Казахстане.
Sib_01-f.eaf,Полина
Sib_01-f.eaf,молчи!
Sib_01-f.eaf,Вот.
Sib_01-f.eaf,ээ Когда я приехала
Sib_01-f.eaf,мы с друзьями решили сходить в горы
Sib_01-f.eaf,ээ В в горы мы ходили
Sib_01-f.eaf,у нас место называется Черкосай
Sib_01-f.eaf,туда очень далеко идти вот
Sib_01-f.eaf,и долго надо ехать
Sib_01-f.eaf,вот
Sib_01-f.eaf,сначала мы долго ехали на машине
Sib_01-f.eaf,потом кстати
Sib_01-f.eaf,ну
Sib_01-f.eaf,ну нас высадили
Sib_01-f.eaf,ээ и мы пошли
Sib_01-f.eaf,пешком в горы мы очень долго шли
Sib_01-f.eaf,Часов наверно пять.
Sib_01-f.eaf,Точно шли.
Sib_01-f.eaf,вот
Sib_01-f.eaf,там постоянно менялось давление
Sib_01-f.eaf,перепады давления
Sib_01-f.eaf,постоянно ну то кружилась голова
Sib_01-f.eaf,то наоборот...
Sib_01-f.eaf,Вот.
Sib_01-f.eaf,Девочки смотрите мне в глаза
Sib_01-f.eaf,я не могу так рассказывать!
Sib_01-f.eaf,Вот.
Sib_01-f.eaf,Потом
Sib_01-f.eaf,Ну в общем было очень весело
Sib_01-f.eaf,мы наконец-то дошли до того места
Sib_01-f.eaf,вокруг было всё очень красиво
Sib_01-f.eaf,ээ природа
Sib_01-f.eaf,горы...
Sib_01-f.eaf,Вот
Sib_01-f.eaf,внизу была красивая река
Sib_01-f.eaf,ээ когда мы поднялись на вершину горы
Sib_01-f.eaf,мы
Sib_01-f.eaf,ээ выяснилось
Sib_01-f.eaf,что нам надо спуститься с неё
Sib_01-f.eaf,ну
Sib_01-f.eaf,то есть с другой стороны
Sib_01-f.eaf,чтобы ээ оказаться н ээ на поляне
Sib_01-f.eaf,чтобы расставить там палатки
Sib_01-f.eaf,вот
Sib_01-f.eaf,мы еле как туда спустились
Sib_01-f.eaf,ээ у нас
Sib_01-f.eaf,нас пошло человек пятнадцать
Sib_01-f.eaf,вот
Sib_01-f.eaf,ээ мы взяли всего две палатки
Sib_01-f.eaf,одна была большая палатка
Sib_01-f.eaf,там человек на десять
Sib_01-f.eaf,ну а другая маленькая
Sib_01-f.eaf,ну там у нас спали пять человек
Sib_01-f.eaf,вот
Sib_01-f.eaf,ээ мы пришли в
Sib_01-f.eaf,мы пришли
Sib_01-f.eaf,поставили палатки
Sib_01-f.eaf,ээ разожгли костёр...
Sib_01-f.eaf,Вот
Sib_01-f.eaf,потом
Sib_01-f.eaf,там рядом была река
Sib_01-f.eaf,и мы все пошли купаться...
Sib_01-f.eaf,Покупались...
Sib_01-f.eaf,ээ Вечером мы жарили жарили шашлыки
Sib_01-f.eaf,ээ пели песни
Sib_01-f.eaf,у костра...
Sib_01-f.eaf,Ну и всё
Sib_01-f.eaf,и потом пошли спать
Sib_01-f.eaf,уже поздно ночью
Sib_01-f.eaf,утром проснулись
Sib_01-f.eaf,ээ весь день тоже были в горах
Sib_01-f.eaf,ну
Sib_01-f.eaf,то есть веселились
Sib_01-f.eaf,пели под гитару
Sib_01-f.eaf,готовили кушать
Sib_01-f.eaf,ели
Sib_01-f.eaf,купались
Sib_01-f.eaf,вот
Sib_01-f.eaf,ну и
Sib_01-f.eaf,ну к вечеру вернулись домой!
Sib_01-f.eaf,Очень весёлая была весёлый был поход в горы!
Sib_05-m.eaf,Представляться не буду?
Sib_05-m.eaf,Короче я Ксюшин брат.
Sib_05-m.eaf,Сейчас расскажу так
Sib_05-m.eaf,как
Sib_05-m.eaf,то
Sib_05-m.eaf,как мы ездили с друзьями в это воскресенье за грибами.
Sib_05-m.eaf,Ну в общем с субботы на воскресенье мы с моим другом Сашей очень плотненько погуляли
Sib_05-m.eaf,я думал:
Sib_05-m.eaf,Высплюся в воскресенье!
Sib_05-m.eaf,Но нет
Sib_05-m.eaf,утром меня разбудили пол восьмого
Sib_05-m.eaf,и сказали:
Sib_05-m.eaf,Поедем за грибами.
Sib_05-m.eaf,Я утром проснулся
Sib_05-m.eaf,покушал
Sib_05-m.eaf,собрались уже ехать
Sib_05-m.eaf,я думаю
Sib_05-m.eaf,Позвоним моему другу Саше.
Sib_05-m.eaf,Позвоним.
Sib_05-m.eaf,Позвонили
Sib_05-m.eaf,заехали за ним
Sib_05-m.eaf,купили всё что надо
Sib_05-m.eaf,поехали за грибами.
Sib_05-m.eaf,Поехали мы на одно такое место
Sib_05-m.eaf,называется Ара
Sib_05-m.eaf,Сейчас вспомню.
Sib_05-m.eaf,Гужиные озёра
Sib_05-m.eaf,нам посоветовали
