,ID,Text
0,Pic-RUS_01-f_Pr-R.zip,жил был один дяденька его жены скоро должно было случится день рождения был случится дяденька очень долго мучился и не знал как обычно выбрать подарок какой получше он ходил по магазинам выбирал думал чтобы ему купить то хотела купить сумку вот он хотел купить часы дома никем но всё не получалось выбрать что-нибудь стоящее в итоге он отчаялась и пришёл спросить у своих детей может быть они дадут какой-то дельные советы дети недолго думаю сказали с чего бы хотел их мало так как дети сюда больше знают они ему сказали я и машину я не по глупости пошёл в автосалон посмотрел на машины э в итоге понял что всё-таки наверное дорого потому что один дячка заявил что это достаточно приличную сумму что денег нашёл компромисс он купил маленькую машинку подарил её собственно говоря своей жене жена в общем-то не уверена что она была счастлива по этому поводу дети тоже как-то были смущены один денег осталось снова
1,Pic-RUS_01-f_Pr-T.zip,товарищ тут с ним случилось проблема у его жены случился день рождения товарищ долго думал что же ему подарить жене долго ходил по магазинам выбирал подарок смотрел им сумку подарить то ли ему подарить какое-нибудь какие-нибудь часы в результате человек со всем же пришёл в ужас от того что подарить решу обратиться к своим детям спросить у них совету дети недолго думаю присоветует копать очень хорошие подарки машину ей то ильич вот ну нотариус пошёл по глупости в магазин посмотреть сколько стоит машину посмотрел работник магазин назвал ему несколько цен товарищ приятный изумился решил что не в этой жизни он по решению какое-нибудь подарок в смысле машину в общем в результате он конечно машину купил но она маленькая маленькая и подарила жене не знаю была ли жена рада дети тоже не очень рады похожи но мужика что с тобой
2,Pic-RUS_01-f_Ski-R.zip,жил был один молодой человек это молодой человек любил заниматься спортом в то же время любил выпить вот один день и в его жизни утром он проснулся по завтраку и пошёл кататься на лыжах катался потом пошёл своими друзьями там он выпил прилично так что я должна сидеть и потом ему опять что-то в голову дали он поехал к опять кататься на лыжах так как он был пьяный ему было это сделать тяжело в итоге он попал вернее не попал упал упал и очень сильно и сломала себе новую руку так что его привезли даже в носилках вот люди не пети
3,Pic-RUS_01-f_Ski-T.zip,день жизнь одного точне увлекающейся спорту мужчин мужчина утром проснулся встал в восемь часов дурак конечно же позавтракал с утра плотно и пошёл кататься с на лыжах катался катался очень спортивный товарищ затем у него была встреча с друзьями и с выпиской человека заряд нажрался после чего почему-то решил ещё раз покататься на лыжах покатался он не очень удачным так как был пьяный а за рулём как известно нельзя пить и попал в реанимации миллион ложили гипс туда и сюда на ногу и на руку то есть теперь он ходит несчастны
4,Pic-RUS_02-f_Pr-R.zip,однозначно был день рождения её муж решил подарить и подарок долго искал хозяином в магазином смотрела что есть но ничего выбрать не мог а тогда он поинтересовался у детей они предложили подарить с вами машину он приехал автосалон а выбора в большую красивую машину то решил повторять своей жене вот но когда он узнал этой машиной он ужаснулся решил что нет такого не может вечером когда он приехал домой выяснилось что он нашёл выход из этого положения привёз не маленькой грушой машинку здесь были поражены а она была немножко мне
5,Pic-RUS_02-f_Pr-T.zip,у одной женщинам был день рождения а муж не знал что ей подарить долго разило в магазинах смотрела на витрины видела там разные товары часы сумки ванечки но так и не мог ничего хорошего придумать а там скорее всего на улице своих детей и пожалуйста что не может придумать маме подарок они нашли выход из положения предложили подарить маме машину придя в автосалон он увидел большую красивую машину решил что такая подойдёт для его жены ему долго рассказывали достоинства этой машины какая она хороший быстрей удобна он уже практически собирался купить но потом когда он знал цену он в испуге сказал нет нет это мне не нужно и ушёл но когда он пришёл вечером домой сказал что он гораздо более изобретателен чем они думали он принёс свои я игрушечную машинку дети стояли и смотрели на папа немножко удивлённо а же навряд ли была довольно тогда
6,Pic-RUS_02-f_Ski-R.zip,а один молодой человек утром встал хорошо я когда же во времени он встретил своих друзей которые решили отметить встречу во время окончания он перебрал и кинулся снова покататься на лыжах он поехал в горки упал разбился и получил травма его пришлось отвезти в больницу в итоге выяснилось что он сломал руку
7,Pic-RUS_02-f_Ski-T.zip,этот человек стал рано утром он позавтракал а потом отправился наложены вкратце когда снялось встретил своих друзей которые решили отметить встреча после чего этот человек как казалось выставил здешнего и его в голову пойти снова покататься на лыжах в горки конечно в таком состоянии ни к чему хорошему не привела и он пал он сильно поранил всё и его отвезли в больницу сказала что не шла рука
8,Pic-RUS_03-m_Pr-R.zip,был в позапрошлом году в одной семье пашка решилась делать моей машки на день рождения подарочек начал думать что же подарить смотрел так подумал это есть часы есть там сумки есть решил обратиться к детям посоветоваться что же вам он хочет вот дети ему сказали что мама давно мечтала в машине хорошей но папа решил но если не дорого пойду на рынок что же сам купим пришёл он в автосалон смотрел смотрел на всему одна на марочко решил узнаю сколько она стоит прошёл продавцу расписал какая она супер-пупер новорожденная и сказал что стоит она дорого подумал решил что денег у него таких нету в конце концов он думал думал что мне обидеть свою жену подарил и маленькую игрушечную машинку
9,Pic-RUS_03-m_Pr-T.zip,в одной семье уже должен был быть скоро день рождения муж задумывался чтобы её подарить такое на день рождения удивить чем заглянул там в одну комнату смотрел этого у неё есть в другую это тоже есть он в растерянности пришёл к детям и спросил что же мне подарить дети ему сказали что мама хотела давно машину вам пошёл в магазин присматриваться к машинам когда ему одна машина понравилась он спросил его покупателя у продавца сколько она стоит он сказал что она стоит много и он решил что семейный бюджет это не потянет в конце концов он купил корекционный машинку женя вот
10,Pic-RUS_03-m_Ski-R.zip,знаком у меня здесь рассказали одну смешную и поучительную историю один их друг решил покататься на лыжах как-то нагорнов проснулся собрался покушал я решил по дороге заскочить ещё ребят позвать поехать на лыжах покататься когда он зашёл там оказался банкет в анкете он задержался чуть-чуть выпил хорошо так и потом всё-таки решил всё равно скатиться в горе когда он поехал в пьяном угаре он упал слышь заработал себе кучу переломов бесконечным итоге оказался в ей всё морали этой басни такова дети ни печи на лыжах конец истории
11,Pic-RUS_03-m_Ski-T.zip,один человек решил покататься на лыжах как-то ранним утром он проснулся покушал отдел снаряжение но по дороге зашёл в гости немножко выбил даже совсем мне немножко очень хорошо нападал и глухой поехал кататься на лыжах в конечном итоге он упал с горы слышу вот у него было куча переломов его отвезли в скорую и теперь он ходит гипсе дети не пети алкоголь перед лыжным
12,Pic-RUS_04-m_Pr-R.zip,один из солнечных дней мужчина решил пойти покупать подарки своей жене ходил выбирал выбирал ничего так себе точнее выбрал и очень устал им встретил своих детей и они ему посоветовали купить же машину в одной из витрин он увидел машину искал вот это у меня машина подходит подходит квадрат по продавцу и спрашивает сколько же стоит такая машина поставить сумму сказала ещё большую сумму но и столько денег в неё не осталось и в итоге он подарил своей жене маленькую модель
