,ID,Text
0,Pic-RUS_01-f_Pr-R.zip,жилбыл один дяденька по его жены скоро должно было случиться день рождения был случится плот дяденька ночного мучился не знал как обычно выбрать подарок какой получше он ходил по магазинам выбирал думал чтобы мог купить то хотел купить сумку то он хотел купить часы то манекен но все не получалось выбрать чтонибудь стоящее ноги он отчаялся пришёл спросить у своих детей может быть они дадут какоето дельный совет дети недолго думая сказали с чего бы хотел их мало так как дети сюда больше знают сказали купить ей машину по глупости посол варт салон посмотрел машины в итоге понял что всетаки наверно дорог один дядька заявил что это наставь приличную сумму стоит денег дядечка носок компромисс он купил маменьку машинку подарил её собственно говоря своей жене в общемто не уверен что она была счастлива дети тоже както были смущены один дети осталась на воле
1,Pic-RUS_01-f_Pr-T.zip,
2,Pic-RUS_01-f_Ski-R.zip,
3,Pic-RUS_01-f_Ski-T.zip,генин жизни одного очень увлекающийся спортом мужчин мужчина утром проснулся стал восемь часов дурак конечно же позавтракал с утра плотно и пошёл кататься на лыжах катался катался хочется партийный товарищ затем у него была встреча с друзьями и с выпивкой человек изрядно нажрался после чего почемуто решил ещё раз покататься на лыжах он не очень удачно так как был пьяный за рулём как известно нельзя пить и попал в реанимации на его наложили гипс туда и сюда на ногу и норг тоесть природу ходит несчастный
4,Pic-RUS_02-f_Pr-R.zip,однозначным был день рождения мышь решил подарить ей подарок долго искал ходила в магазин и усмотрел что есть но ничего не мог тогда он поинтересовался у детей они предложили подарить маме машину приехала в посылала выбрал большую машину который решил подарить своей жене но когда он узнал цену этой машины он ужаснулся решил что нет такого не может правда вечером когда он приехал домой выяснилось что нашёл выход из этого положения привез свою молитву игрушечную машинку дети были поражены на немного
5,Pic-RUS_02-f_Pr-T.zip,
6,Pic-RUS_02-f_Ski-R.zip,
7,Pic-RUS_02-f_Ski-T.zip,этот человек встал рано утром позавтракал а потом отправился наложены кататься на лыжах там он встретил своих друзей которые решили отметить встречу после чего этот человек казалось выпил лишнего и его взбрело в голову божественного покататься на лыжах с горки в таком состоянии это ни к чему хорошему не привело и он упал он сильно поранился и его отвезли в больницу казалось что её сломана рука и нога
8,Pic-RUS_03-m_Pr-R.zip,
9,Pic-RUS_03-m_Pr-T.zip,
10,Pic-RUS_03-m_Ski-R.zip,знакомым мне здесь рассказали одну смешную и поучительную историю один их решил покататься на лыжах както нагорных проснулся собрался покушал я решил по дороге доскачет тече ребят позвать поехать наложением покататься когда он зашёл там оказался банкет но на банкете он сдержался чутьчуть выпил хорошо так и потом всетаки решил все равно скатиться с горы когда он поехал в пьяном угаре он упал слышь заработал себе кучу переломов в конечном итоге оказался в гипсе мораль этой басни такова дети не пейте на лыжах конец истории все
11,Pic-RUS_03-m_Ski-T.zip,один чувак решил покататься на лыжах както ранним зимним утром он проснулся покушал а дядя снаряжение но по дороге зашёл в гости там немножко выпил даже совсем не немножко а очень хорошо нападал и бухой поехал кататься на лыжах в конечном итоге он в упала с горы слышь вода в нем было куча переломов его отвезли в скорую теперь он хоть в гипсе дети не пейте алкоголь перед лыжным спортом
12,Pic-RUS_04-m_Pr-R.zip,
13,Pic-RUS_04-m_Pr-T.zip,
14,Pic-RUS_04-m_Ski-R.zip,
15,Pic-RUS_04-m_Ski-T.zip,
16,Pic-RUS_05-m_Pr-R.zip,
17,Pic-RUS_05-m_Pr-T.zip,однажды константин решил подарить жене подарок на день рождения и пошёл в магазин приходит значит он магазин смотрят стоят сумки лампы кастрюли кувшины чего только нет бедняга даже и не зная чего купить тот подбегает дети говорят дядьки тыча говорят вспотел а он смотрит действительно вспотел под так ручьём прямо льё от со лба ну так вот говорят не парься дяди говорят купе лучше автомобиль у наши мама как раз нету машин и отвели его к продавцу продавец говорит покупайте это самое лучшее автомобиль из всех что есть он призадумался думает действительно автомобиль неплохой у одна как продавец сказала муциан он говорят не братишка говорит лучше я куплю чтонибудь другое и приобрел игрушечный автомобиль вот на дети были недовольны они хотели настоящая автомобиль поэтому и лица их расстроены
18,Pic-RUS_05-m_Ski-R.zip,
19,Pic-RUS_05-m_Ski-T.zip,миша проснулся очень рано гдето в восемь часов утра сделав женскую причёску он хорошенько позавтракал и поехал к своим друзьям на лыжах непонятно зачем это он сделал хоть когда можно было преспокойненько отправиться на автобусе или метро выпив хорошенько непонятно почему кстати с утра он пьёт он решил покататься на лыжах и видимо он выбрал не ту горку иза того что он выпил больше чем одной и больше чем две рюмки когда он спускался в него одна лыжа отстегнулась а вторая нет перекрутил ему ногу и сломал её в трёх местах с горы его пришлось увозить на носилках с тех но с тех пор миша по утрам не пьёт
20,Pic-RUS_06-f_Pr-R.zip,один мужчина решил подарить своей жене какойнибудь подарок на день рождения он пошёл в магазин долго выбирал но так ничего не смог придумать ему ничего не понравилось советовали купить машину машина была очень дорогая поэтому он купил ей сувенир маленькую машинку
21,Pic-RUS_06-f_Pr-T.zip,
22,Pic-RUS_06-f_Ski-R.zip,
23,Pic-RUS_06-f_Ski-T.zip,жилбыл один дядечка  один раз он проснулся утром наверное был выходной поел и решил кататься на лыжах катался потом пришёл домой к нему пришли друзья они начали выбивать кончилось тем что это дядечка очень много выпил и пошёл кататься на лыжах снова сам он сильно упал переломав себе не знаю ноги руки наверное и попал в больницу пришлось выходить на костылях
24,Pic-RUS_07-f_Pr-R.zip,значит мужчина один решил своей жене подарить подарок у неё там праздник какоето ледяная жди не было кажется день рождения вот и пошёл выбирай тако подошёл к прилавку смотрят там какието но на им цену бешеные там или что я не знаю короче он не купил и дети вроде каково подбежали тоже там начали и мучат подсказывать короче он ушёл оттуда приходят уже салон автомобиля продаются но ему там рекламирует типа вот классный только автомобиль довезут возьмите тантра для нам прикинул у него там денег мало такой расстроился ты уже следующий кадр вроде как он жене дарит подарок там такая маленькая машинка заводная наверно какая такая красоту элечка совсем машинами вот он же не сделал короче такой подальше тираду все смеются наверх
