,ID,Text
0,Sib_01-f,этого садись плоти а из казахстана и поэтому меня клеток в которых сани былины локи  когда приехала внутренне адрес электроприборы горинг место называется цирка сай давайте недалеко и ненадолго надо ехать сначала он долго ехали на трусы не выходили после им сучком горем очень долго слипшихся  то есть  там постоянно менялось давление прибавят явлением то кружилась голова эротики квадратную другой поэте выгода в потом но всем было весело наконец метцова круглов сила природы горесть вот и внизу красивая река п когда мы поднялись на вершину горы мы выясним основной птицы с неё с другой стороны чтобы оказаться полемон созерцает палатки у вас мы ели както в постели в нас наспех сколоченными пятнадцать год мы взяли всего две палатки одна была большая палатка князей выговаривая наставления пять человек твой мы пришли импрессионизма ставили палатки разожгли костёр вот там рядом была река секции купаться вечером мы жареного изабель кишлаки пели песни у костра говори потом пошли спать уже поздней ночью утромто сном весь день тоже были граф музыки серийности приготовили кофе или парень и но к вечеру вернулись домой потенциалом весёлый был послан горы
1,Sib_02-f,
2,Sib_03-m,
3,Sib_04-m,
4,Sib_05-m,стоят не было срочные отпущен брата сейчас так как мы ездили с друзьями в воскресенье погреба  свободного падения мы с моим другом плотника погуляли я думал выключи воскресения но нет утрами разбудили восьмого и фужеры поедем загребай я проснулся покушал собрались уже ехать позвонить моему другу саша позвоним позвонили заехали за ним купили втечу надо поехали загреба поехали мы надо какое место называется сейчас вспомню сложенная озера нам посоветовали там очень много грибов очень красиво  стоит туда съездить ехали мы ехали проехали центров девяносто приехали какието озера заехали в лес вили не очень интересную картину страждань горелый лес бутылки грибов мало проехали километров пятнадцать полесов стоять на какуюто деревню очень страшную деревни не дай бог том заехать если он не будет жить называется долгов потом помяли машину прискорбно после того мы ехали на старое место очень даже прекрасно к сожалению мы заблудились плутали по лесам места полтора года да намотали лишних километров семьдесят не семьдесят пятьдесят сожгли бензину кстати есть одна интересная история когда мы проезжали одно очень большую лужу вообще страшному и проезжали выключали ирода пять градусов на машине и александер мой товарищ так испугался что вцепился в руль состряпал такое лицо и грудь никуда не еду вылез из машины и убежал пришлось коли одному перебираться через уже все приходили пешком такие друзья и родственники кино римлян товарищи в трудную минуту с марией погибает в одну но всетаки мы нашли это место набрали не очень прилично грибов за так что там хорошо отдохнули небо фотоаппарат чтобы фотографироваться вы получили прикольно фотографии и временем кстати было мало чтобы отдохнуть если поехали было намного проще там сидели пикник небольшое строили можно даже костерок различны такие узкая дорога чайку бы сварили потом нам позвонили сказали что в городе сильный дождь поморщился вырвать оттуда добр люди испугались и быстрее бежать состояли лозунги машинах увидели как мимо нас проходит над городом поехали домой долго и мучительно грибы саша потом звонил спрашивал их сорить позже кверху шляпками или наоборот народ налаживалась оказана эрнст так что так в атмосфере загребали
5,Sib_06-f,
6,Sib_07-f,я работаю в экспедиции по володарской гидра геологическая было как все спор тридцатое декабря девяносто первого года и всетаки мы отметили новый год встреча нового года и выйти на улицу выбирал автобуса выразил в городе метров от города вышли мы все хором вся контора потом город едет автобус подзадержался елозил вдруг смотрим высоко в небе высоковысоко в небе ярко яркий пучок света высокий такой высокий мы все подняли голову сначала стали смеяться бизон достать наверно выпили и галлюцинацией плутовской или нет двадцать человек галлюцинации не может быть посмотрели гневом против нас и завис остановился стек стал такой яркий по диаметру как мы стояли во всех секторах светил стояли порассуждаем о показалось было долго наутро в газетах появился бессилием то значит светлый дух в течение двух минут видели не только прошёл над городом и почемуто флигелями такие большие группы людей заметочка в газете проросла через два дня появился опровержение смотри там базы военной системе батицкий полигон соответственного могу всетаки воспитания опровержение чтото наверно военные просто привлекались перед новым годом мы результате так никто и не выяснил что это было как это было потом на полигоне делали съёмку мужчина может рассказать психотерапевт и вносил очень хороший дел когда мы туда поехать сразу предупредили что из воды из водоемов не пить рыбу ловить соответственно поехали мы женщина и молодой человек вызвался освободитель приехали мы туда идеально ровные по диаметру озера мандатом изумрудная та забайкалье нет свиток очень яркий насыщенной соответственно мальчики с или проверить димка сразу забросил удочку поймал рыбу он рыба мгновенно только копны никаких таких отклонил было очень жарко хотелось очень искупаться голландскую гористого с время буквально четыре часа улицу приехали съёмку сделал заду ехать все понятно мы тебя лицемеры как мы брали пробы воды и увезли сзади сейчас результаты но никто не рассказал принц бахтиаров
7,Sib_08-f,
8,Sib_09-m,
9,Sib_10-m,
10,Sib_11-m,
11,Sib_12-f,так оно и какуюнибудь игру сработает о чем не киберов даже не знаю ну давай я теперь пушек и к тебе мой маленький были сестрой мы собирали паники собирали пайки ты когда я рассказываю об этом хочу я говорю как ты ездила в москву в первый раз в жизни не видела мать пупком тягнуть спектры ни при чем мама не хотела и рубанула ибо заявил о том что мы потом щурясь не посмотрим по краю поля партнёр киев потому что никто не знает какая у них будет жить не может аничковом пита когда он приехал в ту самую гамлета точеном тропайла собирать факты потому что берет лист наши путаетесь не в было два или три сорта катьке попили все наши от руки и осыпалась спросом пользовались квадратных фальшивка техников и негде и вот бы когда поехали пульта был основная катать мать оптимиста знал что не можем опустила стекло попомнит помни что набила и миру писала не заходила под посмотрите какие домовым избавить смотреть не на кресло и никаких дома мы смотрели себе под ноги будкина влезли бы убирать а у нас были вот так и киндер раньше признаки тинкар это было очень удобно мы тихонько наклонились подбирая какую фантик складывали бы сюда поберегите ты ведь вытаскивали это покажется причём выходили так и останется за гибнет ты ничего не теперь потому что мы никуда не напрягла только смотреть под ноги не заметил у нас был такой таксист сколько там быть ты панське разглаживали мечтали как поменяемся письме и мыть руки никнет приветливо чмок это как я теперь
