audio_ID,abk_transcripts
Sib_01-f,
Sib_02-f,
Sib_03-m,да роман и девятнадцать лет родился в городе улан-удэ здесь выразились ещё так геннадьевич четырнадцать там закончил после этого шаликоевич который не закончил сидорова данные документы начали работать с работой сибиряков нормальной работы интересно и после этого пришлось заканчивать денежку чтобы купить университет сейчас закончится иркутск закрыл кое-как лето лето как отдыхал не работал ничего не делал сейчас всё лето заканчивается конечно скалы нормально тысяч на работе нашёл работу миллион смотрите смотрите вы правильно вот сам хочу научить страховую филиал в принципе нормально что лучше что как значит я работаю хорошо
Sib_04-m,малики ругались на меня судя по всему год отработал а уже четвёртый разряд пришёл со вторым один год четвёртого получил они по несколько лет и у всех по четвёртому отряду по всем по десять а будь кто и больше ну ещё не работал а сегодня приходит ко мне технолог попросил вылечить ему деталь вычел им деталь он ушёл прибежал ещё со мной детали говорит выдаче её тоже ну и спрашиваю какую тень альфия четвёртой тут сколько работаешь григорий работаю у меня там просто мужики порекомендовали что типа опытных фрезеровщиков снимите по этой вот есть что-нибудь к этому определюсь я говорю нету тепло говорю был один иванович до этого работал говорю уволить за пьянку ну понятно типа свободная ставка знаете по этой говорит выйдет там одна женщина если не поговорю по ставке подадим все мужики опять перевели эти деньги тащились говорите всё фрезеровщиков работал слесарем перевели сейчас старт свободный появился предыдущий мне поставили фрезеровщиков не будет
Sib_05-m,
Sib_06-f,ламанову что я побежала в школу не понимала что такое школа зачем хочу любую сумку по улице так убежала по улице лосева глаза не поймать не могу этот момент восьмого говорит если бы я тебя в это время поймал чисел конечно потом как-то ну
Sib_07-f,
Sib_08-f,
Sib_09-m,
Sib_10-m,
Sib_11-m,
Sib_12-f,
Sib_13-f,
Sib_14-f,третьего года начало самой дачный сезон живу собачка со мной мало и кусок код вы я сама к тому что за ним надо ухаживать варичем живут со мной соседки когда могут ночи лето соседка и рая сейчас это не разъезжается я в субботу приезжаю и буду одна сезон не особенно удачный уразову следующий сезон же вам здоровья буду посадила клубники и больше меньше грядах больше событий будет дай бог даже
Sib_15-f,
Sib_16-m,сейчас силе я начал работать работу вообще на тракторе том работал на тракторе работало на комбайне комбайн назывался коммунар любые потом уехал в лес прямо был такой коне боронь богатырский леспромхоз сначала карлову сучке врубай потом пошёл взяли меня ещё раз да проводить сейчас телефона телефона августа в деревне туда-сюда как связи так потом я туда приехал слишком схожи на в колхоз опять меня поставили сообщником на тракта на тракторе отработал приходит повестка уже девятнадцать лет армии это было в пятьдесят седьмом
Sib_17-m,
